                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.91379,                0.60149,                0.91783,                0.98849,                0.71429,                0.76751,                0.37588,                  2.016,                  1.392,                 1.3733,              0.0007724,              0.0007724,              0.0007724
                     64,                0.88526,                  0.567,                0.88673,                      1,                0.71006,                0.76395,                0.37487,                 2.0354,                 1.4947,                 1.3955,              0.0007526,              0.0007526,              0.0007526
                     65,                0.87786,                0.56982,                0.88775,                      1,                0.71323,                0.76694,                0.38465,                 2.0838,                 1.4817,                 1.4299,              0.0007328,              0.0007328,              0.0007328
                     66,                0.92195,                 0.5896,                0.90006,                0.99303,                0.71429,                0.77928,                0.38829,                 1.9904,                 1.3402,                 1.4213,               0.000713,               0.000713,               0.000713
                     67,                0.92952,                0.58105,                 0.9016,                0.99416,                0.71429,                0.84389,                0.38793,                 1.9696,                 1.2182,                 1.4136,              0.0006932,              0.0006932,              0.0006932
                     68,                0.88134,                0.57625,                0.87494,                0.99196,                0.71429,                 0.8195,                0.39271,                  2.039,                  1.198,                 1.4172,              0.0006734,              0.0006734,              0.0006734
                     69,                0.83003,                0.51837,                0.90554,                0.98915,                0.71429,                0.81243,                0.43363,                 2.0004,                 1.3289,                 1.3982,              0.0006536,              0.0006536,              0.0006536
                     70,                0.93911,                0.58746,                0.92111,                      1,                0.71236,                0.81056,                 0.4175,                  2.017,                 1.3997,                 1.4319,              0.0006338,              0.0006338,              0.0006338
                     71,                0.84737,                0.55005,                 0.8837,                      1,                0.70929,                0.76084,                0.39075,                 2.0468,                 1.3437,                 1.4556,               0.000614,               0.000614,               0.000614
                     72,                0.90193,                0.57849,                0.91507,                0.99746,                0.71429,                0.76404,                0.40277,                 2.0465,                 1.2837,                 1.4405,              0.0005942,              0.0005942,              0.0005942
                     73,                0.81664,                0.52465,                0.89267,                      1,                0.77837,                   0.82,                0.39103,                 1.9847,                 1.2395,                 1.4013,              0.0005744,              0.0005744,              0.0005744
                     74,                0.82212,                0.54032,                0.88847,                      1,                0.77861,                0.83196,                0.41234,                  1.932,                 1.2619,                 1.3838,              0.0005546,              0.0005546,              0.0005546
                     75,                0.79869,                 0.5166,                 0.8817,                0.99138,                0.71429,                0.84034,                0.39946,                 1.8792,                 1.2709,                 1.3545,              0.0005348,              0.0005348,              0.0005348
                     76,                0.82305,                0.53962,                0.89154,                0.99545,                0.71429,                0.85505,                0.46417,                 1.7839,                 1.2652,                 1.3308,               0.000515,               0.000515,               0.000515
                     77,                0.74516,                 0.4894,                0.85504,                0.99505,                0.71429,                0.85551,                 0.4554,                 1.7943,                 1.3231,                  1.348,              0.0004952,              0.0004952,              0.0004952
                     78,                0.78804,                0.53055,                 0.8665,                0.99163,                0.71429,                0.85412,                0.41998,                 1.9057,                   1.28,                  1.398,              0.0004754,              0.0004754,              0.0004754
                     79,                0.74588,                0.50002,                0.84554,                      1,                0.84189,                0.86816,                0.40956,                 1.9275,                 1.2443,                 1.3932,              0.0004556,              0.0004556,              0.0004556
                     80,                0.76491,                0.50317,                0.84551,                      1,                0.84395,                0.87264,                0.42715,                 1.8912,                 1.1829,                 1.3606,              0.0004358,              0.0004358,              0.0004358
                     81,                0.75803,                0.47315,                0.86146,                      1,                 0.8457,                0.87075,                0.41438,                 1.9611,                 1.1956,                 1.3982,               0.000416,               0.000416,               0.000416
                     82,                0.80643,                0.54547,                0.89174,                      1,                0.85219,                  0.869,                0.40322,                 1.9549,                  1.152,                 1.4021,              0.0003962,              0.0003962,              0.0003962
                     83,                0.74049,                0.49143,                0.85321,                0.99487,                0.85714,                 0.8697,                 0.4314,                 1.9138,                 1.0705,                 1.3994,              0.0003764,              0.0003764,              0.0003764
                     84,                0.78281,                0.53112,                0.88542,                0.97793,                0.85714,                0.86995,                0.43028,                 1.9142,                 1.0826,                 1.3984,              0.0003566,              0.0003566,              0.0003566
                     85,                0.75056,                0.50089,                0.85358,                      1,                0.78058,                0.86362,                0.43017,                 1.9279,                 1.1506,                 1.4062,              0.0003368,              0.0003368,              0.0003368
                     86,                0.76418,                0.47556,                0.86333,                0.92185,                0.84344,                 0.8578,                0.42694,                 1.9108,                 1.2253,                  1.403,               0.000317,               0.000317,               0.000317
                     87,                0.74312,                0.49297,                0.85906,                0.91589,                0.77835,                0.85918,                0.41831,                 1.9106,                 1.2268,                 1.3906,              0.0002972,              0.0002972,              0.0002972
                     88,                0.75142,                0.48998,                0.85288,                0.91391,                0.75974,                0.86187,                0.42455,                 1.9232,                 1.2447,                 1.3936,              0.0002774,              0.0002774,              0.0002774
                     89,                0.66515,                0.47845,                0.84121,                0.91541,                0.77387,                 0.8634,                0.41946,                 1.8981,                 1.2309,                 1.3865,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.6849,                0.46555,                0.83456,                      1,                0.78479,                  0.873,                0.42355,                 1.9264,                 1.2235,                 1.4008,              0.0002378,              0.0002378,              0.0002378
                     91,                0.74342,                0.48333,                0.87067,                      1,                0.77962,                0.86565,                0.41594,                  1.935,                 1.2136,                 1.4106,               0.000218,               0.000218,               0.000218
                     92,                0.67855,                0.45095,                0.84376,                0.90041,                0.85714,                0.85392,                0.43292,                 1.8957,                 1.1981,                 1.4017,              0.0001982,              0.0001982,              0.0001982
                     93,                0.72831,                0.47247,                0.86469,                0.89462,                0.85714,                 0.8514,                0.40977,                 1.8987,                 1.2041,                 1.4023,              0.0001784,              0.0001784,              0.0001784
                     94,                0.68257,                0.46275,                0.85953,                0.92141,                0.83852,                0.85044,                  0.419,                 1.9164,                 1.2132,                 1.4001,              0.0001586,              0.0001586,              0.0001586
                     95,                0.63525,                 0.4372,                0.83165,                 0.9195,                0.81733,                0.85049,                0.40352,                 1.9313,                  1.221,                  1.401,              0.0001388,              0.0001388,              0.0001388
                     96,                0.62696,                 0.4454,                0.85448,                0.99263,                0.71429,                0.77949,                0.39997,                 1.9324,                 1.2174,                 1.4103,               0.000119,               0.000119,               0.000119
                     97,                 0.6482,                0.43469,                0.85491,                0.99375,                0.71429,                0.77774,                0.40189,                 1.9325,                 1.2487,                 1.4163,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.62142,                0.41256,                0.82375,                0.90767,                0.78571,                0.84677,                0.40486,                  1.927,                 1.2598,                 1.4194,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.5876,                0.40537,                0.85417,                0.99501,                0.71429,                0.84777,                0.41454,                 1.9251,                 1.2729,                 1.4262,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.58987,                0.40712,                0.83442,                0.99595,                0.71429,                0.85037,                0.42535,                 1.9168,                 1.2704,                 1.4299,               3.98e-05,               3.98e-05,               3.98e-05
