                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.9784,                 0.5871,                0.94618,                      1,                0.64197,                0.74986,                0.42141,                 1.8107,                 1.3483,                 1.2742,              0.0010892,              0.0010892,              0.0010892
                     71,                0.91896,                0.58296,                0.91616,                      1,                0.70274,                0.77841,                0.42062,                 1.8158,                 1.2783,                 1.2796,               0.001076,               0.001076,               0.001076
                     72,                 1.0135,                0.62014,                 0.9333,                0.90288,                0.71429,                0.77949,                0.43662,                 1.7869,                 1.3198,                 1.3087,              0.0010628,              0.0010628,              0.0010628
                     73,                 0.9377,                0.54483,                0.91541,                0.90852,                0.70979,                0.77661,                0.40908,                  1.791,                 1.2807,                 1.2831,              0.0010496,              0.0010496,              0.0010496
                     74,                 0.9586,                0.58951,                0.89698,                0.88658,                0.64286,                0.73398,                0.36162,                 1.9958,                  1.466,                 1.3764,              0.0010364,              0.0010364,              0.0010364
                     75,                0.89709,                0.54854,                 0.8817,                0.98812,                0.64286,                0.71975,                0.36829,                 1.9218,                 1.4965,                 1.3567,              0.0010232,              0.0010232,              0.0010232
                     76,                0.90906,                0.55664,                  0.924,                 0.9888,                0.64286,                0.72112,                0.37027,                 1.8927,                 1.4775,                 1.3418,                0.00101,                0.00101,                0.00101
                     77,                0.89331,                0.53437,                0.89152,                0.89886,                0.71429,                0.77137,                0.37217,                 1.9446,                 1.4276,                 1.3786,              0.0009968,              0.0009968,              0.0009968
                     78,                0.89262,                0.53924,                0.90211,                0.89328,                0.71429,                0.78904,                0.42225,                 1.8631,                 1.4747,                 1.2803,              0.0009836,              0.0009836,              0.0009836
                     79,                0.88787,                0.53772,                0.90041,                0.83317,                0.71352,                0.78884,                0.39504,                  1.936,                 1.5294,                 1.3485,              0.0009704,              0.0009704,              0.0009704
                     80,                0.82954,                0.53618,                0.88337,                0.86412,                0.64286,                0.77528,                0.37736,                 2.0045,                 1.6584,                 1.4107,              0.0009572,              0.0009572,              0.0009572
                     81,                0.81063,                0.53819,                0.88922,                0.90868,                0.71105,                0.81446,                0.39243,                  1.915,                  1.496,                  1.346,               0.000944,               0.000944,               0.000944
                     82,                0.83314,                0.50862,                0.89925,                0.77542,                0.85714,                 0.8219,                 0.3981,                 1.8844,                 1.3044,                 1.3519,              0.0009308,              0.0009308,              0.0009308
                     83,                0.86567,                0.52176,                0.87593,                 0.9866,                0.64286,                0.82045,                0.41045,                  1.748,                 1.2563,                 1.3389,              0.0009176,              0.0009176,              0.0009176
                     84,                0.81372,                0.50361,                0.90243,                0.99189,                0.64286,                0.80556,                0.42408,                 1.7845,                  1.277,                 1.3591,              0.0009044,              0.0009044,              0.0009044
                     85,                0.85014,                0.50945,                0.87511,                0.99294,                0.64286,                0.82396,                0.45503,                 1.8121,                 1.2829,                 1.3522,              0.0008912,              0.0008912,              0.0008912
                     86,                 0.8512,                0.51489,                0.88053,                0.99202,                0.71429,                0.80717,                0.42117,                 1.8293,                  1.176,                 1.3254,               0.000878,               0.000878,               0.000878
                     87,                0.83386,                0.51094,                0.89491,                      1,                0.71044,                0.80881,                  0.438,                 1.8625,                 1.1009,                 1.3388,              0.0008648,              0.0008648,              0.0008648
                     88,                0.85613,                0.53668,                0.87971,                      1,                0.76311,                0.81392,                0.43043,                 1.8517,                 1.0566,                 1.3414,              0.0008516,              0.0008516,              0.0008516
                     89,                0.82051,                 0.5016,                0.89407,                0.99532,                0.78571,                0.81392,                0.42573,                 1.7982,                 1.0823,                 1.3423,              0.0008384,              0.0008384,              0.0008384
                     90,                0.77125,                0.50521,                0.85817,                0.99568,                0.78571,                0.81541,                0.41195,                 1.8213,                 1.0778,                 1.3532,              0.0008252,              0.0008252,              0.0008252
                     91,                 0.8342,                0.51609,                0.87175,                      1,                0.78194,                0.81023,                0.43753,                 1.7275,                 1.0104,                 1.2789,               0.000812,               0.000812,               0.000812
                     92,                0.79008,                0.48391,                0.88277,                      1,                0.77925,                0.81988,                 0.4641,                 1.8225,                0.94056,                 1.2908,              0.0007988,              0.0007988,              0.0007988
